College,Department,Class,# midterms,dates of midterms,% grade of midterm,number of drops,# papers,dates of papers,% grade of paper,# projects,dates of projects,% grade of project,"final exam? (1 = yes, 0 = no)",% grade of final,number of days between last midterm & final,,final exam format
School of Engineering,Biomedical Engineering (BME),BME 3800: CAD in BME,2,4/4,15,0,0,N/A,N/A,2,1/25,10,1,15,11,,
School of Engineering,Biomedical Engineering (BME),BME 3800: CAD in BME,,4/18,15,,,,,,3/5,10,,,,,
School of Engineering,Biomedical Engineering (BME),BME 3301: Biomedical Instrumentation I,3,2/5,15,0,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,,
School of Engineering,Biomedical Engineering (BME),BME 3301: Biomedical Instrumentation I,,3/4,15,,,,,,,,,,,,
School of Engineering,Biomedical Engineering (BME),BME 3301: Biomedical Instrumentation I,,4/15,15,,,,,,,,,,,,
School of Engineering,Biomedical Engineering (BME),BME 2302: Systems Physiology II,3,2/8,10,0,0,N/A,N/A,0,N/A,N/A,1,10,21,,
School of Engineering,Biomedical Engineering (BME),BME 2302: Systems Physiology II,,3/7,10,,,,,,,,,,,,
School of Engineering,Biomedical Engineering (BME),BME 2302: Systems Physiology II,,4/11,10,,,,,,,,,,,,
School of Engineering,Biomedical Engineering (BME),BME 2301: Systems Physiology I,3,2/6,11.67,0,0,N/A,N/A,1,4/18,20,0,N/A,N/A,,
School of Engineering,Biomedical Engineering (BME),BME 2301: Systems Physiology I,,3/7,11.67,,,,,,,,,,,,
School of Engineering,Biomedical Engineering (BME),BME 2301: Systems Physiology I,,4/11,11.67,,,,,,,,,,,,
School of Engineering,Chemical and Bimolecular Engineering (CHBE),ChBE 3890: Biomaterials for Drug Delivery,0,N/A,N/A,0,0,N/A,N/A,1,?,N/A,0,N/A,N/A,,
School of Engineering,Chemical and Bimolecular Engineering (CHBE),ChBE 4200: Additive and Polymer Based Manufacturing,1,3/5,20,0,0,N/A,N/A,5,?,5,0,N/A,N/A,,
School of Engineering,Chemical and Bimolecular Engineering (CHBE),ChBE 4200: Additive and Polymer Based Manufacturing,,,,,,,,,?,10,,,,,
School of Engineering,Chemical and Bimolecular Engineering (CHBE),ChBE 4200: Additive and Polymer Based Manufacturing,,,,,,,,,?,10,,,,,
School of Engineering,Chemical and Bimolecular Engineering (CHBE),ChBE 4200: Additive and Polymer Based Manufacturing,,,,,,,,,?,10,,,,,
School of Engineering,Chemical and Bimolecular Engineering (CHBE),ChBE 4200: Additive and Polymer Based Manufacturing,,,,,,,,,?,15,,,,,
School of Engineering,Chemical and Bimolecular Engineering (CHBE),ChBE 4500: Bioprocess Engineering,2,2/21,?,0,0,N/A,N/A,1,4/25,?,0,N/A,N/A,,
School of Engineering,Chemical and Bimolecular Engineering (CHBE),ChBE 4500: Bioprocess Engineering,,4/17,?,,,,,,,,,,,,
School of Engineering,Chemical and Bimolecular Engineering (CHBE),ChBE 3350: Mass Transfer and Rate-Based Separations,3,2/16,20,0,0,N/A,N/A,0,N/A,N/A,1,25,12,,
School of Engineering,Chemical and Bimolecular Engineering (CHBE),ChBE 3350: Mass Transfer and Rate-Based Separations,,3/22,20,,,,,,,,,,,,
School of Engineering,Chemical and Bimolecular Engineering (CHBE),ChBE 3350: Mass Transfer and Rate-Based Separations,,4/12,20,,,,,,,,,,,,
School of Engineering,"Civil and Environmental Engineering (CE, ENVE)",ENVE 4610: Biological Processes in Environmental Systems,1,2/28,40,0,0,N/A,N/A,0,N/A,N/A,1,45,?,,
School of Engineering,"Civil and Environmental Engineering (CE, ENVE)",CE 3705: Water Resource Engineering,2,2/15,27.5,0,0,N/A,N/A,0,N/A,N/A,1,5/2,30,,
School of Engineering,"Civil and Environmental Engineering (CE, ENVE)",CE 3705: Water Resource Engineering,,4/2,27.5,,,,,,,,,,,,
School of Engineering,"Civil and Environmental Engineering (CE, ENVE)",CE 4150: Energy Systems Engineering,1,3/7,20,0,0,N/A,N/A,0,N/A,N/A,1,30,56,,
School of Engineering,Computer Science (CS),CS 3892: Projects in Computing for Sustainability,0,N/A,N/A,0,1,2/9,7,1,4/11,80,0,N/A,N/A,,
School of Engineering,Computer Science (CS),CS 4260: Introduction to Artificial Intelligence,3,2/9,9,0,0,N/A,N/A,0,N/A,N/A,1,15,11,,
School of Engineering,Computer Science (CS),CS 4260: Introduction to Artificial Intelligence,,3/6,9,,,,,,,,,,,,
School of Engineering,Computer Science (CS),CS 4260: Introduction to Artificial Intelligence,,4/19,9,,,,,,,,,,,,
School of Engineering,Computer Science (CS),CS 3250: Algorithms,2,2/21,8,0,0,N/A,N/A,0,N/A,N/A,1,20,22,,
School of Engineering,Computer Science (CS),CS 3250: Algorithms,,4/3,12,,,,,,,,,,,,
School of Engineering,Computer Science (CS),CS 4269: Projects in AI,0,N/A,N/A,0,0,N/A,N/A,1,4/18,100,0,N/A,N/A,,
School of Engineering,Computer Science (CS),CS 3251: Intermediate Software Development,3,?,10,0,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,,
School of Engineering,Computer Science (CS),CS 3251: Intermediate Software Development,,?,10,,,,,,,,,,,,
School of Engineering,Computer Science (CS),CS 3251: Intermediate Software Development,,?,10,,,,,,,,,,,,
School of Engineering,Computer Science (CS),CS 2204: Program Design and Data Structures for Scientific Computing,0,N/A,N/A,0,0,N/A,N/A,0,N/A,N/A,1,25,N/A,,
School of Engineering,Computer Science (CS),CS 4255: Error Analyis in Safety Critical Systems,0,N/A,N/A,0,0,N/A,N/A,1,?,40,0,N/A,N/A,,
School of Engineering,Digital Fabrication (DF),,,,,,,,,,,,,,,,
School of Engineering,Electrical and Computer Engineering (ECE),ECE 2112: Circuits,3,2/2,18,0,0,N/A,N/A,0,N/A,N/A,1,36,14,,
School of Engineering,Electrical and Computer Engineering (ECE),ECE 2112: Circuits,,3/4,18,,,,,,,,,,,,
School of Engineering,Electrical and Computer Engineering (ECE),ECE 2112: Circuits,,4/10,18,,,,,,,,,,,,
School of Engineering,Mechanical Engineering (ME),,,,,,,,,,,,,,,,
School of Engineering,Mechanical Engineering (ME),,,,,,,,,,,,,,,,
